,Name,lat,lon
0,#1,33.634935,-116.124802
1,#1 B,33.634935,-116.124802
2,'66 Envi Center,42.714377,-73.202118
3,'66 Envi Center B,42.714377,-73.202118
4,1027 Hollywood,40.72751,-111.861434
5,1027 Hollywood B,40.72751,-111.861434
6,10920 Canyon RD,41.359016,-95.96844
7,10920 Canyon RD B,41.359016,-95.96844
8,121 Dutton Pagoda Springs Co,37.274816,-107.098936
9,121 Dutton Pagoda Springs Co B,37.274816,-107.098936
10,1226 El Camino Real,37.585018,-122.366997
11,1226 El Camino Real B,37.585018,-122.366997
12,13 th and J,40.783869,-111.870139
13,13 th and J B,40.783869,-111.870139
14,1300 Block Lemon,38.090349,-122.238814
15,1300 Block Lemon B,38.090349,-122.238814
16,1311 San Joaquin Escalon CA,37.798347,-120.994803
17,1311 San Joaquin Escalon CA B,37.798347,-120.994803
18,1333 Sombrero Drive,34.059753,-118.148186
19,1333 Sombrero Drive B,34.059753,-118.148186
20,134,43.325152,-70.992086
21,134 B,43.325152,-70.992086
22,1381 Rock Haven St,34.046755,-118.155307
23,1381 Rock Haven St B,34.046755,-118.155307
24,17th St and Kiesel Ave,41.237524,-111.971543
25,17th St and Kiesel Ave B,41.237524,-111.971543
26,211 Sonora pass rd,38.14128,-122.260096
27,211 Sonora pass rd B,38.14128,-122.260096
28,219,38.009429,-122.636466
29,219 B,38.009429,-122.636466
30,21ESC,13.407415,103.815481
31,21ESC B,13.407415,103.815481
32,222 West Creston St.,34.971067,-120.438165
33,222 West Creston St. B,34.971067,-120.438165
34,26th and Williams,39.754824,-104.965764
35,26th and Williams B,39.754824,-104.965764
36,"2733 Holyoke Lane, Ann Arbor, MI 48103",42.314168,-83.766064
37,"2733 Holyoke Lane, Ann Arbor, MI 48103 B",42.314168,-83.766064
38,33 Edgecroft,,
39,33 Edgecroft B,,
40,"331 Conejo Road, Santa Barbara",34.445029,-119.678274
41,"331 Conejo Road, Santa Barbara B",34.445029,-119.678274
42,3450 South 500 East,40.696261,-111.877387
43,3450 South 500 East B,40.696261,-111.877387
44,350 School ST,40.620418,-79.144525
45,350 School ST B,40.620418,-79.144525
46,"352 Saint Augustine Drive, Chico, CA 95928",39.732016,-121.77647
47,"352 Saint Augustine Drive, Chico, CA 95928 B",39.732016,-121.77647
48,3rd and Bonneville ,36.164346,-115.147014
49,3rd and Bonneville  B,36.164346,-115.147014
50,3rd and California,34.020344,-118.501704
51,3rd and California B,34.020344,-118.501704
