,StateCode,CountyCode,SiteNum,State,epa_lat,epa_lon,ID,label,p_lat,p_lon,dist,epa_indx
1,4,13,2001,Arizona,33.57454,-112.19196,3644,Glendale (Copperwood),33.587254,-112.196945,1.48724396976605,PM10
2,4,13,2001,Arizona,33.57454,-112.19196,5906,Glendale (Copperwood),33.587305,-112.196934,1.49232065439706,PM10
3,6,79,8002,California,35.49453,-120.66617,641,Colony Park,35.494594,-120.666478,0.02877755239806,PM10
4,6,83,1008,California,34.949147,-120.43763,1164,"Santa Maria, CA ",34.92719,-120.439186,2.44562342559198,PM10
5,6,25,5,California,32.676186,-115.484144,1174,Calexico-Ethel,32.67618,-115.48307,0.100525061838589,PM10
6,6,67,10,California,38.558228,-121.492981,1194,Sacramento 1,38.568469,-121.493627,1.14013156769627,PM10
7,6,67,10,California,38.558228,-121.492981,1208,Sacramento 2,38.568383,-121.493224,1.12938211972954,PM10
8,6,83,2011,California,34.44551,-119.8284,1936,Goleta-Fairview,34.44551,-119.828,0.036679402772033,PM10
9,6,83,1008,California,34.949147,-120.43763,1944,222 West Creston St.,34.971067,-120.438165,2.43788035503699,PM10
10,6,83,1008,California,34.949147,-120.43763,1986,Pioneer Valley High School,34.958573,-120.402776,3.34493928689256,PM10
11,6,83,1008,California,34.949147,-120.43763,1996,"Santa Maria, CA",34.987127,-120.441215,4.23579860263203,PM10
12,6,83,1008,California,34.949147,-120.43763,1998,Ybarra House,34.988366,-120.443398,4.3925112052484,PM10
13,6,83,1008,California,34.949147,-120.43763,2002,Kearessa Gauna,34.988118,-120.449241,4.46066401779881,PM10
14,6,107,2002,California,36.332179,-119.291228,2305,JPL_Visalia_CARB,36.332542,-119.290993,0.045523289199727,PM10
15,6,25,5,California,32.676186,-115.484144,2444,SCUV_10,32.691232,-115.467421,2.29097183931033,PM10
16,6,79,8002,California,35.49453,-120.66617,2717,Atascadero,35.494841,-120.665822,0.046780886242714,PM10
17,6,25,7,California,32.97833,-115.53917,2747,695 North 11th street Brawley CA 92227,32.98632,-115.524357,1.64267125360716,PM10
18,6,79,2006,California,35.256577,-120.669861,4520,"San Luis Obispo, Meadow Street",35.265869,-120.658548,1.45691061565642,PM10
19,16,1,9,Idaho,43.618889,-116.213611,4317,Boise,43.596021,-116.208233,2.57940965023004,PM10
20,16,1,9,Idaho,43.618889,-116.213611,4482,Boise Beekeeper ,43.600147,-116.257338,4.09111527543331,PM10
21,16,1,9,Idaho,43.618889,-116.213611,4489,RP's back porch,43.636135,-116.218614,1.95948957471129,PM10
22,17,31,22,Illinois,41.687165,-87.539315,2119,SASA_PA9_SE_S4,41.696554,-87.543836,1.10944763372819,PM10
23,17,31,22,Illinois,41.687165,-87.539315,2127,SASA_PA2_SE_S2,41.709133,-87.538687,2.44328653896906,PM10
24,17,31,22,Illinois,41.687165,-87.539315,2131,SASA_PA6_SE_S6,41.701145,-87.559671,2.29632686393045,PM10
25,18,97,78,Indiana,39.811097,-86.114469,2388,IKE.svdp,39.810641,-86.114517,0.050870375956307,PM10
