,Name,lat,lon
0,"FAIRHOPE, Alabama",30.498001,-87.881412
1,ASHLAND,33.281261,-85.802182
2,MUSCLE SHOALS,34.758781,-87.650562
3,CROSSVILLE,34.287627,-85.968298
4,GADSDEN C. COLLEGE,33.993749,-85.991072
5,DOTHAN (CIVIC CENTER),31.226359,-85.390768
6,North Birmingham,33.553056,-86.815
7,North Birmingham,33.553056,-86.815
8,North Birmingham,33.553056,-86.815
9,McAdory,33.331111,-87.003611
10,McAdory,33.331111,-87.003611
11,Leeds,33.545278,-86.549167
12,Leeds,33.545278,-86.549167
13,Wylam,33.499722,-86.924167
14,Wylam,33.499722,-86.924167
15,,33.521427,-86.844112
16,Sloss Shuttlesworth,33.565278,-86.796389
17,HUNTSVILLE OLD AIRPORT,34.68767,-86.58637
18,HUNTSVILLE OLD AIRPORT,34.68767,-86.58637
19,CHICKASAW,30.769941,-88.087526
20,"MOMS, ADEM",32.40712,-86.256367
21,"MOMS, ADEM",32.40712,-86.256367
22,"DECATUR, Alabama",34.518735,-86.976939
23,PHENIX CITY,32.476781,-84.99911
24,PHENIX CITY,32.476781,-84.99911
25,CHILDERSBURG,33.279747,-86.349438
26,"VA, TUSCALOOSA",33.18935,-87.484217
27,GARDEN/TRINITY CHRISTIAN CHURCH,61.205861,-149.824602
28,PARKGATE/EAGLE RIVER,61.3267,-149.569707
29,STATE OFFICE BUILDING,64.840672,-147.722461
30,NCORE,64.84569,-147.727413
31,NCORE,64.84569,-147.727413
32,North Pole Fire Station #3,64.762973,-147.310297
33,Floyd Dryden Middle School,58.388497,-134.567237
34,BUTTE,61.534163,-149.031655
35,BUTTE,61.534163,-149.031655
36,Palmer,61.598898,-149.10622
37,Wasilla,61.598796,-149.455255
38,Nazlini,35.881974,-109.434003
39,Nazlini,35.881974,-109.434003
40,DOUGLAS RED CROSS,31.3492,-109.539683
41,ALAMO LAKE,34.2319,-113.58
42,WEST PHOENIX,33.48385,-112.14257
43,WEST PHOENIX,33.48385,-112.14257
44,WEST PHOENIX,33.48385,-112.14257
45,MESA,33.41045,-111.86507
46,NORTH PHOENIX,33.56033,-112.06626
47,GLENDALE,33.57454,-112.19196
48,SOUTH PHOENIX,33.40316,-112.07533
49,TEMPE,33.4124,-111.93473
50,WEST 43RD AVENUE,33.40642,-112.14434
51,WEST 43RD AVENUE,33.40642,-112.14434
52,WEST 43RD AVENUE,33.40642,-112.14434
53,Diablo,33.39625,-111.967972
54,Senior Center Air Monitoring Station,33.488242,-111.855654
55,Senior Center Air Monitoring Station,33.488242,-111.855654
56,DURANGO COMPLEX,33.4265,-112.11814
57,JLG SUPERSITE,33.503833,-112.095767
58,JLG SUPERSITE,33.503833,-112.095767
59,Peach Springs,35.540017,-113.410782
60,ORANGE GROVE,32.322661,-111.038389
61,CHILDREN'S PARK NCore,32.29515,-110.9823
62,CHILDREN'S PARK NCore,32.29515,-110.9823
63,CHILDREN'S PARK NCore,32.29515,-110.9823
64,CASA GRANDE DOWNTOWN,32.877583,-111.752222
65,CASA GRANDE DOWNTOWN,32.877583,-111.752222
66,APACHE JUNCTION FIRE STATION,33.421194,-111.503222
67,COWTOWN,33.01053,-111.97205
68,COWTOWN,33.01053,-111.97205
69,NOGALES POST OFFICE,31.337204,-110.936718
70,NOGALES POST OFFICE,31.337204,-110.936718
71,NOGALES POST OFFICE,31.337204,-110.936718
